UID Value,UID Name,UID Keyword,UID Type,Part,Deprecated
1.2.840.10008.1.20.1,Storage Commitment Push Model SOP Class,StorageCommitmentPushModel,SOP Class,PS3.4 ,false
1.2.840.10008.1.20.1.1,Storage Commitment Push Model SOP Instance,StorageCommitmentPushModelInstance,Well-known SOP Instance,PS3.4 ,false
1.2.840.10008.1.20.2,Storage Commitment Pull Model SOP Class (Retired),StorageCommitmentPullModel,SOP Class,PS3.4 (2001) ,true
1.2.840.10008.1.20.2.1,Storage Commitment Pull Model SOP Instance (Retired),StorageCommitmentPullModelInstance,Well-known SOP Instance,PS3.4 (2001) ,true
1.2.840.10008.1.40,Procedural Event Logging SOP Class,ProceduralEventLogging,SOP Class,PS3.4 ,false
1.2.840.10008.1.40.1,Procedural Event Logging SOP Instance,ProceduralEventLoggingInstance,Well-known SOP Instance,PS3.4 ,false
1.2.840.10008.1.42,Substance Administration Logging SOP Class,SubstanceAdministrationLogging,SOP Class,PS3.4 ,false
1.2.840.10008.1.42.1,Substance Administration Logging SOP Instance,SubstanceAdministrationLoggingInstance,Well-known SOP Instance,PS3.4 ,false
1.2.840.10008.2.6.1,DICOM UID Registry,DCMUID,DICOM UIDs as a Coding Scheme,PS3.6 ,false
1.2.840.10008.2.16.4,DICOM Controlled Terminology,DCM,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.5,Adult Mouse Anatomy Ontology,MA,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.6,Uberon Ontology,UBERON,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.7,Integrated Taxonomic Information System (ITIS) Taxonomic Serial Number (TSN),ITIS_TSN,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.8,Mouse Genome Initiative (MGI),MGI,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.9,PubChem Compound CID,PUBCHEM_CID,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.10,Dublin Core,DC,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.11,New York University Melanoma Clinical Cooperative Group,NYUMCCG,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.12,Mayo Clinic Non-radiological Images Specific Body Structure Anatomical Surface Region Guide,MAYONRISBSASRG,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.13,Image Biomarker Standardisation Initiative,IBSI,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.14,Radiomics Ontology,RO,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.15,RadElement,RADELEMENT,Coding Scheme,PS3.16 ,false
1.2.840.10008.2.16.16,ICD-11,I11,Coding Scheme,PS3.16 ,false
1.2.840.10008.3.1.1.1,DICOM Application Context Name,DICOMApplicationContext,Application Context Name,PS3.7 ,false
1.2.840.10008.3.1.2.1.1,Detached Patient Management SOP Class (Retired),DetachedPatientManagement,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.1.4,Detached Patient Management Meta SOP Class (Retired),DetachedPatientManagementMeta,Meta SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.2.1,Detached Visit Management SOP Class (Retired),DetachedVisitManagement,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.3.1,Detached Study Management SOP Class (Retired),DetachedStudyManagement,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.3.2,Study Component Management SOP Class (Retired),StudyComponentManagement,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.3.3,Modality Performed Procedure Step SOP Class,ModalityPerformedProcedureStep,SOP Class,PS3.4 ,false
1.2.840.10008.3.1.2.3.4,Modality Performed Procedure Step Retrieve SOP Class,ModalityPerformedProcedureStepRetrieve,SOP Class,PS3.4 ,false
1.2.840.10008.3.1.2.3.5,Modality Performed Procedure Step Notification SOP Class,ModalityPerformedProcedureStepNotification,SOP Class,PS3.4 ,false
1.2.840.10008.3.1.2.5.1,Detached Results Management SOP Class (Retired),DetachedResultsManagement,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.5.4,Detached Results Management Meta SOP Class (Retired),DetachedResultsManagementMeta,Meta SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.5.5,Detached Study Management Meta SOP Class (Retired),DetachedStudyManagementMeta,Meta SOP Class,PS3.4 (2004) ,true
1.2.840.10008.3.1.2.6.1,Detached Interpretation Management SOP Class (Retired),DetachedInterpretationManagement,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.4.2,Storage Service Class,Storage,Service Class,PS3.4 ,false
1.2.840.10008.5.1.1.1,Basic Film Session SOP Class,BasicFilmSession,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.2,Basic Film Box SOP Class,BasicFilmBox,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.4,Basic Grayscale Image Box SOP Class,BasicGrayscaleImageBox,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.4.1,Basic Color Image Box SOP Class,BasicColorImageBox,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.4.2,Referenced Image Box SOP Class (Retired),ReferencedImageBox,SOP Class,PS3.4 (1998) ,true
1.2.840.10008.5.1.1.9,Basic Grayscale Print Management Meta SOP Class,BasicGrayscalePrintManagementMeta,Meta SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.9.1,Referenced Grayscale Print Management Meta SOP Class (Retired),ReferencedGrayscalePrintManagementMeta,Meta SOP Class,PS3.4 (1998) ,true
1.2.840.10008.5.1.1.14,Print Job SOP Class,PrintJob,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.15,Basic Annotation Box SOP Class,BasicAnnotationBox,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.16,Printer SOP Class,Printer,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.16.376,Printer Configuration Retrieval SOP Class,PrinterConfigurationRetrieval,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.17,Printer SOP Instance,PrinterInstance,Well-known Printer SOP Instance,PS3.4 ,false
1.2.840.10008.5.1.1.17.376,Printer Configuration Retrieval SOP Instance,PrinterConfigurationRetrievalInstance,Well-known Printer SOP Instance,PS3.4 ,false
1.2.840.10008.5.1.1.18,Basic Color Print Management Meta SOP Class,BasicColorPrintManagementMeta,Meta SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.18.1,Referenced Color Print Management Meta SOP Class (Retired),ReferencedColorPrintManagementMeta,Meta SOP Class,PS3.4 (1998) ,true
1.2.840.10008.5.1.1.22,VOI LUT Box SOP Class,VOILUTBox,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.23,Presentation LUT SOP Class,PresentationLUT,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.24,Image Overlay Box SOP Class (Retired),ImageOverlayBox,SOP Class,PS3.4 (1998) ,true
1.2.840.10008.5.1.1.24.1,Basic Print Image Overlay Box SOP Class (Retired),BasicPrintImageOverlayBox,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.25,Print Queue SOP Instance (Retired),PrintQueue,Well-known Print Queue SOP Instance,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.26,Print Queue Management SOP Class (Retired),PrintQueueManagement,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.27,Stored Print Storage SOP Class (Retired),StoredPrintStorage,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.29,Hardcopy Grayscale Image Storage SOP Class (Retired),HardcopyGrayscaleImageStorage,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.30,Hardcopy Color Image Storage SOP Class (Retired),HardcopyColorImageStorage,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.31,Pull Print Request SOP Class (Retired),PullPrintRequest,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.32,Pull Stored Print Management Meta SOP Class (Retired),PullStoredPrintManagementMeta,Meta SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.1.33,Media Creation Management SOP Class UID,MediaCreationManagement,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.40,Display System SOP Class,DisplaySystem,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.1.40.1,Display System SOP Instance,DisplaySystemInstance,Well-known SOP Instance,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.1,Computed Radiography Image Storage,ComputedRadiographyImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.1.1,Digital X-Ray Image Storage - For Presentation,DigitalXRayImageStorageForPresentation,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.1.1.1,Digital X-Ray Image Storage - For Processing,DigitalXRayImageStorageForProcessing,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.1.2,Digital Mammography X-Ray Image Storage - For Presentation,DigitalMammographyXRayImageStorageForPresentation,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.1.2.1,Digital Mammography X-Ray Image Storage - For Processing,DigitalMammographyXRayImageStorageForProcessing,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.1.3,Digital Intra-Oral X-Ray Image Storage - For Presentation,DigitalIntraOralXRayImageStorageForPresentation,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.1.3.1,Digital Intra-Oral X-Ray Image Storage - For Processing,DigitalIntraOralXRayImageStorageForProcessing,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.2,CT Image Storage,CTImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.2.1,Enhanced CT Image Storage,EnhancedCTImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.2.2,Legacy Converted Enhanced CT Image Storage,LegacyConvertedEnhancedCTImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.3,Ultrasound Multi-frame Image Storage (Retired),UltrasoundMultiFrameImageStorageRetired,SOP Class,PS3.4 (1993) ,true
1.2.840.10008.5.1.4.1.1.3.1,Ultrasound Multi-frame Image Storage,UltrasoundMultiFrameImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.4,MR Image Storage,MRImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.4.1,Enhanced MR Image Storage,EnhancedMRImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.4.2,MR Spectroscopy Storage,MRSpectroscopyStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.4.3,Enhanced MR Color Image Storage,EnhancedMRColorImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.4.4,Legacy Converted Enhanced MR Image Storage,LegacyConvertedEnhancedMRImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.5,Nuclear Medicine Image Storage (Retired),NuclearMedicineImageStorageRetired,SOP Class,PS3.4 (1993) ,true
1.2.840.10008.5.1.4.1.1.6,Ultrasound Image Storage (Retired),UltrasoundImageStorageRetired,SOP Class,PS3.4 (1993) ,true
1.2.840.10008.5.1.4.1.1.6.1,Ultrasound Image Storage,UltrasoundImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.6.2,Enhanced US Volume Storage,EnhancedUSVolumeStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.7,Secondary Capture Image Storage,SecondaryCaptureImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.7.1,Multi-frame Single Bit Secondary Capture Image Storage,MultiFrameSingleBitSecondaryCaptureImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.7.2,Multi-frame Grayscale Byte Secondary Capture Image Storage,MultiFrameGrayscaleByteSecondaryCaptureImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.7.3,Multi-frame Grayscale Word Secondary Capture Image Storage,MultiFrameGrayscaleWordSecondaryCaptureImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.7.4,Multi-frame True Color Secondary Capture Image Storage,MultiFrameTrueColorSecondaryCaptureImageStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.8,Standalone Overlay Storage (Retired),StandaloneOverlayStorage,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.4.1.1.9,Standalone Curve Storage (Retired),StandaloneCurveStorage,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.4.1.1.9.1,Waveform Storage - Trial (Retired),WaveformStorageTrial,SOP Class,PS3.4 (2007) ,true
1.2.840.10008.5.1.4.1.1.9.1.1,12-lead ECG Waveform Storage,TwelveLeadECGWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.1.2,General ECG Waveform Storage,GeneralECGWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.1.3,Ambulatory ECG Waveform Storage,AmbulatoryECGWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.2.1,Hemodynamic Waveform Storage,HemodynamicWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.3.1,Cardiac Electrophysiology Waveform Storage,CardiacElectrophysiologyWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.4.1,Basic Voice Audio Waveform Storage,BasicVoiceAudioWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.4.2,General Audio Waveform Storage,GeneralAudioWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.5.1,Arterial Pulse Waveform Storage,ArterialPulseWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.6.1,Respiratory Waveform Storage,RespiratoryWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.6.2,Multi-channel Respiratory Waveform Storage,MultichannelRespiratoryWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.7.1,Routine Scalp Electroencephalogram Waveform Storage,RoutineScalpElectroencephalogramWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.7.2,Electromyogram Waveform Storage,ElectromyogramWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.7.3,Electrooculogram Waveform Storage,ElectrooculogramWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.7.4,Sleep Electroencephalogram Waveform Storage,SleepElectroencephalogramWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.9.8.1,Body Position Waveform Storage,BodyPositionWaveformStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.10,Standalone Modality LUT Storage (Retired),StandaloneModalityLUTStorage,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.4.1.1.11,Standalone VOI LUT Storage (Retired),StandaloneVOILUTStorage,SOP Class,PS3.4 (2004) ,true
1.2.840.10008.5.1.4.1.1.11.1,Grayscale Softcopy Presentation State Storage,GrayscaleSoftcopyPresentationStateStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.11.2,Color Softcopy Presentation State Storage,ColorSoftcopyPresentationStateStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.11.3,Pseudo-Color Softcopy Presentation State Storage,PseudoColorSoftcopyPresentationStateStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.11.4,Blending Softcopy Presentation State Storage,BlendingSoftcopyPresentationStateStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.11.5,XA/XRF Grayscale Softcopy Presentation State Storage,XAXRFGrayscaleSoftcopyPresentationStateStorage,SOP Class,PS3.4 ,false
1.2.840.10008.5.1.4.1.1.11.6,Grayscale Planar MPR Volumetric Presentation State Storage,GrayscalePlanarMPRVolumetricPresentationStateStorage,SOP Class,PS3.4 ,false
